Acronym,Definition,Meaning,Department,Team/Area
RSAEB,RSA Examination Board,Source: The Knowledge accessed 2019-04-12,DfE,
RSC (commissioners),Regional Schools Commissioners,"From September 2014, 8 RSCs will be responsible for taking important decisions about the academies in their area. The RSCs will make decisions on applications from schools wanting to become academies and organisations wanting to sponsor an academy. They will also be responsible for taking action when an academy is underperforming.Source: {GOV.UK|https://www.gov.uk/governmentews/regional-schools-commissioners-to-oversee-academies} accessed 2015-06-08",DfE,
RSC (support),Regional Support Centres,Source: The Knowledge accessed 2019-04-12,DfE,
RSG,Revenue Support Grants,,DfE,
RSL,Registered Social Landlords,,DfE,
RSP,Regional Skills Partnerships,"There were 9 Regional Skills Partnerships (RSPs) operational in England, established following the 2003 Skills Strategy White paper. Regional skills partnerships brought together key stakeholders in a particular region, and were charged with establishing regional skills priorities in policy areas such as 14-19 reform and the National Employer Training Programme.",DfE,
RSR,Risk of Serious Recidivism,Algorithmic predictor,MoJ,
RSS,Regional Skills Services,Formerly the Regional Employer Skills Service.,DfE,
RSSS,Review of School Staffing Structure,Source: The Knowledge accessed 2019-04-12,DfE,
RSTW,Raising Standards and Tackling Workload,"The National Agreement on Raising Standards and Tackling Workload is designed to enhance the status of all staff who work in schools and to enable teachers to focus more on teaching and learning, by freeing them from routinely completing administrative tasks. It was signed by the Department for Education and Skills, employers and school workforce unions on 15 January 2003.Source: The Knowledge accessed 2019-04-12",DfE,
RtA,Routes to Achievement,,DfE,
RTE,Real Time Earnings,,DWP / HMRC ,Universal Credit
RTI,Real Time Information,"RTI (Real Time Information) was a key government programme which aims to improve the way in 
which employers submit Pay As You Earn (PAYE) information about their employees to HM 
Revenue & Customs (HMRC). The RTI system is designed to deliver benefits to HMRC, employers 
and employees. These benefits include greater stability and reduced risk of over or underpayment 
of tax for employees, simplification for employers at the end of year (no more need for an End of 
Year return) and for dealing with leavers and joiners, and reduced scope for error and fraud. In 
addition, RTI provides the essential platform for Universal Credit, a major government welfare 
reform programme",HMRC,
RTM,Requirements Traceability Matrix,,MoJ,
RTO,Recovery Time Objectives,,DfE,
RTP,Registered Teacher Programme,"Provided a blend of work-based teacher training and academic study, allowing non-graduates with some experience of higher education to complete their degree and qualify as a teacher at the same time. The programme closed in academic year 2012/13.Source: {DfE website|http://webarchive.nationalarchives.gov.uk/20130123124929/http://www.education.gov.uk/get-into-teaching/teacher-training-options/registered-teacher-programme.aspx} accessed 2015-05-28",DfE,
RTPi,Request To Pay Integration,,,
RTR,Right to rent,Evidence that someone is eligible to rent a property in England,Home Office,
RTT,READY TO TRADE,,DIT,
RTW,Right To Work,Evidence that someone is eligible to work lawfully in the UK.,Home Office,
RUP,Rational Unified Process,,DfE,
S2S,School to School,Application to allow the sharing and movement of pupil information.,DfE,
S3,Simple Storage Service,Amazon's data storage service,MoJ,
S6F,School Sixth Forms,,DfE,
SA,Secure Access,"Method of access and password administration giving a single, secure point of entry to DfE systems. SA (Secure Access) was replaced in Dec 2018/Jan 2019 by DfE Sign-in which is abbreviated to DSI.Source: Data Directorate 2019-08-01",DfE,
SAAS (schools),School Achievement Awards Scheme,"The scheme was originally developed to celebrate the achievements of schools that either made significant improvement or were high performing. It achieved this, and over the three years that the scheme was in operation, nearly 13,800 schools won awards. R",DfE,
SAAS (software),Software as a Service,Software licensing and delivery model in which software is licensed on a subscription basis and is centrally hosted.,Civil Service Wide,DDaT
SABIP,Strategic Advisory Board for Intellectual Property,Source: The Knowledge accessed 2019-05-08,DfE,
SAC,Social Affairs Council,"Source: Department for Education and Employment and Office for Standards in Education., (1998). Departmental Report: The Government's Expenditure Plans for 1998-99 Cm 3910. London: The Stationery Office [ISBN 0101391021]",DfE,
SACRE,Standing Advisory Councils on Religious Education,,DfE,
SAD,Senior Account Directors,,DfE,
SAGE,The Scientific Advisory Group for Emergencies,Co-chaired by Sir Patrick Vallance and Chris Whitty. Provides a single source of co-ordinated scientific advice to COBR.,BEIS,UK Vaccines Taskforce
SAI,School Access Initiative,Source: The Knowledge accessed 2019-05-08,DfE,
SAMP,Strategic Asset Management Plan,,DfE,
SAO,School Attendance Orders,,DfE,
SAP,Skills Advisory Panels,,DfE,
SAPAU (departmental organisational unit),"Special Educational Needs, Disability and Alternative Provision Division",Year(s) active (where known): 2019-,DfE,
SAQ,Self Assessment Questionnaire,A form done in a the first couple days of prison by new prisoner,MoJ,
SAR,Subject Access Request,"Similar to an FOI, but for yourself. At the MOJ this is typically used by prisoners or civil servants.",MoJ,
SAR (access),Subject Access Request,,DfE,
SAR (assessments),Self-assessment reports,,DfE,
SARA,Sector annual report and accounts,"DfE will prepare a new sector annual report and accounts (SARA) for the academic year from 1 September to 31 August each year. This aligns with the financial reporting period of individual academy trusts. This is different to the financial reporting period for government departments, which is from 1 April to 31 March each year.Source: {GOV.UK|https://www.gov.uk/governmentews/academies-sector-annual-report-and-accounts} accessed 2019-12-23",DfE,
SARA,Spousal Assault Risk Assessment,,MoJ,
SARD (departmental organisational unit),Strategic Analysis and Research Division,Year(s) active (where known): 2013,DfE,
SAS (ages),Standard ages scores,Source: The Knowledge accessed 2019-05-30,DfE,
SAS (students),Student Associates Scheme,Source: The Knowledge accessed 2019-05-30,DfE,
SASE,Specification of Apprenticeship Standards for England,,DfE,
SASI,Share and Support Interviews,,,
SASM,Senior Area Service Managers,,DfE,
SAT,Single-academy trusts,,DfE,
SATRO,Science and Technology Regional Organisations,Source: The Knowledge accessed 2019-05-30,DfE,
SATS (assessment tasks),Standard Assessment Tasks,"The paper Testing the facts (DfE, 1993), gives a history of the introduction of the tests from July 1988 and April 1993. Teachers considered boycotts of Standard Assessment Tasks between 1991 and 1994. The main boycott was in the Summer of 1993.Source DfE Press Notices 77/93, 107/93, 124/93, 166/93 and 95/94 This page was produced by the Library.Source: The Knowledge accessed 2019-05-31",DfE,
SATS (attainment tests),Standard Attainment Tests,,DfE,
SATS (curriculum testing),Standard Assessment Tests,The test frameworks are written primarily for test developers; they will be used by item writing agencies and the Standards and Testing Agency throughout the test development process. Teachers should not use the frameworks to guide teaching and learning. They do not provide information on how the new national curriculum should be taught. Each test framework sets out: what will and wont be assessed by the test how each element of the subject will be assessed the proposed structure of the test the standard a child will be expected to achieve in the testSource: {GOV.UK|https://www.gov.uk/government/collectionsational-curriculum-assessments-test-frameworks} accessed 2015-06-05,DfE,
SAV,Security Architecture Review,A term used by IA (Information Assurance),MoJ,
SBC,School Building Capital,"The School Building Capital programme has increased more than five times since 1996-97. In that financial year the capital budget was 683 million, and this has since increased to over 3.8 billion in 2003-04. There are further increases to 4.5 billion in 2004-05 and 5.1 billion in 2005-06, making a total of 13.4 billion over the three years covered by the most recent spending review. This means that capital investment will be running at a higher level, in real terms, than at any time in the past half century.",DfE,
SBC,"Specification, Benchmarking and Costing",,MoJ,
SBDP,Supporting Better Delivery Programme,Source: The Knowledge accessed 2019-05-30,DfE,
SBI,Single Business Identifier,A main Single Business Identifier (SBI) is a unique nine digit number given to a farmer or business that is involved in an agricultural activity.  It is not the same as a trader SBI.,Defra,Rural Payments Agency
SBL,School business links,,DfE,
SBO,School Beat Officer,Source: The Knowledge accessed 2019-05-30,DfE,
SBOC,Small Boats Opperational Command,The area of Border Force Responsible for Small boat arrivals ,Home Office,
SBSA,State Boarding School Association,,DfE,
SBU,Specialist Buying Unit,Source: The Knowledge accessed 2019-05-30,DfE,
SC,Security Check,Level of Security Clearance,Civil Service Wide,
SC,Service Centre,,DWP,
SC (census),School Census,"The School Census collects key data on around 8 million pupils and around 25,000 schools; and pupil level data have been collected since 2002.Source: {The National Archives|http://webarchive.nationalarchives.gov.uk/20130123124929/http://www.education.gov.uk/researchandstatistics/statistics/schoolandpupil/b00196911/the-school-census-england} accessed 2015-06-10",DfE,
SC (colleges),Sports Colleges,Source: The Knowledge accessed 2019-05-30,DfE,
SCA,School condition allocations,,DfE,
SCA,Start Custody Assessments,,MoJ,
SCAA,School Curriculum and Assessment Authority,The Education Act 1993 merged the National Curriculum Council and School Examinations and Assessment Council into the School Curriculum and Assessment Authority (SCAA). This was recommended by the White Paper 'Choice and Diversity'. The Secretary of State appointed the members of the Council and it produced a corporate plan and accounts. SCAA produced detailed instructions on the national curriculum syllabus and SATs for teachers and reports on progress in all examination levels. In 1997 it merged with the National Council for Vocational Qualifications to become the Qualifications and Curriculum Authority. Source This page was produced by the Library.Source: The Knowledge accessed 2019-05-30,DfE,
SCAH,"Science, Capability and Animal Health",,Defra,Major Projects & Digital Delivery 
SCAH,Science Capability & Animal Health,,Defra Group,APHA?
SCAP (departmental organisational unit),School Capacity and Planning,Year(s) active (where known): c2019-,DfE,
SCC,Schools causing concern,,DfE,
SCC,Specialist Computer Centres,Providers of web hosting,MoJ,
SCCE,Schools Council for Curriculum and Examinations,,DfE,
SCCS,Secure Compliance and Checking System,,,
SCD,Severe Communication Difficulties,Source: The Knowledge accessed 2019-05-30,DfE,
SCDC,School Curriculum Development Committee,In April 1982 the Department of Education and Science issued Press Notice 92/82 on the future of the Schools Council announcing the setting up of the Secondary Examinations Council and the School Curriculum Development Committee The Committee continued publication of curriculum research begun by the Schools Council.  In 1988 the Education Reform Act replaced Secondary Examinations Council and SCDC with two statutory bodies the National Curriculum Council and the School Examinations and Assessment Council Source This page was produced by the Library.Source: The Knowledge accessed 2019-05-30,DfE,
SCE,Service childrens education,,DfE,
SCEA,Service Childrens Education Authority,Source: The Knowledge accessed 2019-05-30,DfE,
SCH,Secure Children's Home,A Secure Children's Home is a type of Youth Detention Accommodation and/or Secure Welfare Accommodation that accommodates children and young people between the ages of 10-17.,MoJ,
SCIA,Society of Chief Inspectors and Advisers,,DfE,
SCIF,Strategic College Improvement Fund,The Strategic College Improvement Fund (SCIF) provides grants to colleges that need to improve the quality of their provision of education and training.Source: {GOV.UK|https://www.gov.uk/guidance/guidance-for-applicants-to-the-strategic-college-improvement-fund} accessed 2018-10-18,DfE,
SCITT,School-centred initial teacher training,"SCITT programmes are designed and delivered by groups of neighbouring schools and colleges. Taught by experienced, practising teachers, and often tailored towards local teaching needs, all SCITT courses lead to qualified teacher status (QTS). Many, though not all, will also award a postgraduate certificate in education (PGCE) validated by a higher education institution.Source: {DfE website|https://getintoteaching.education.gov.uk/explore-my-options/training/scitt} accessed 2015-06-10",DfE,
SCM,Skills and Capability Manager,Works in Fast Stream and Emerging Talent. Gives you developmental and career coaching. Provides support and guidance to Activity Manager on managing fast streamers.,Cabinet Office,Org wide
SCMD (departmental organisational unit),"Social Care, Mobility and Disadvantage [Directorate]",Year(s) active (where known): 2018-2021,DfE,
SCME (departmental organisational unit),"Social Care, Mobility and Equalities [Directorate]",Year(s) active (where known): ?-2018,DfE,
SCN,Strategic Clinical Network,,NHSx,Org Wide
SCONTO,Scottish Council of National Training Organisations,,DfE,
Scot,Scotland Office,,,
SCR,Serious case reviews,"A SCR should always be undertaken when a child dies (including suicide), and abuse or neglect is known or suspected to be a factor. It should also be carried out when a child dies in custody (in police custody, on remand or following sentencing), in a Youth Offending Institution (YOI), or a Secure Training Centre (STC), or where the child was detained under the Mental Health Act 2005 (para 8.10). The purpose of an SCR is to establish whether there are lessons to be learnt from the case about the way in which local professionals and organisations work together to safeguard and promote the welfare of children. ",DfE,
SCS,Senior Civil Servant,"Someone with a senior post in the Civil Service, for example a Director.",Civil Service Wide,
SCSBP,Senior Civil Service Business Partner,Organisation or individual who assists during recruitment of a Senior Civil Servant.,MoJ,
SCT,Supply Chain Transformation,,DfE,
SCT,Small claims track,"The route followed by a case for lower-value claims, with a value of less than £10,000.",HMCTS,
SCU,Separation & Care Unit,Also / previously known as the Segregation Unit (Seg),MoJ,
SCU (departmental organisational unit),School Complaints Unit,,DfE,
SCUTREA,Standing Conference on University Teaching and Research in the Education of Adults,Source: The Knowledge accessed 2019-05-30,DfE,
SDA,Severe Disablement Allowance,,,
SDA (act),Sex Discrimination Act 1975,,DfE,
SDA (authority),Service Design Authority,,DfE,
SDA (delivery),Service Delivery Agreement,"An agreement setting out the more detailed outputs that departments will need to focus on to achieve their objectives and the modernisation processes they will go through to improve the productivity of their operations.Source: Department for Education and Skills., (2003). Departmental Report 2003 Cm 5902. London: The Stationery Office [ISBN: 0101590229]",DfE,
SDC,Service Delivery Co-ordinator,,,
SDD,Service Definition Document,,DfE,
SDF,Skills Development Fund,Source: The Knowledge accessed 2019-05-31,DfE,
SDG (departmental organisational unit),Supporting Delivery Group,Year(s) active (where known): 2013,DfE,
SDG (sustainable),Sustainable Development Goals,"The Sustainable Development Goals are the blueprint to achieve a better and more sustainable future for all. They address the global challenges we face, including those related to poverty, inequality, climate change, environmental degradation, peace and justice. The 17 Goals are all interconnected, and in order to leave no one behind, it is important that we achieve them all by 2030.Source: {UN website|https://www.un.org/sustainabledevelopment/sustainable-development-goals/} accessed 2019-12-23",DfE,
SDIP,Summer Diversity Internship Programme,Source: {Fast stream GOV.UK|https://www.faststream.gov.uk/summer-diversity-internship-programme/} accessed 2019-01-30,DfE,
SDLC,Systems Development Life Cycle,,DfE,
SDLT,Stamp Duty Land Tax,,DLUHC,
SDM,Service Design and Management,,,
SDO,Standard Directions Order,,HMCTS,
SDOL,Smart Data Online,,DfE,
SDP,Single Departmental Plan,,Civil Service Wide,
SDP,Severe Disability Premium,,,
SDP (department),Single Departmental Plan,"Single Departmental Plans are revised annually, in line with departments own internal planning, to reflect new priorities or changes in responsibilities. They are linked to the Spending Review and the Budget processes, as part of the planning and performance framework, so that a department can show how it will use its resources (the funding set in its departmental settlement and any adjustments to spending plans made at fiscal events, such as the Budget) to the achieve the outputs and outcomes it will deliver. They include indicators so you can see how the department is performing on each objective during the year. Links are provided to more detailed sources of data and information, such as official statistics and other public data releases. For areas that involve more than one department, the Single Departmental Plans show what each department is responsible for and where there is joint responsibility between departments.Source: {GOV.UK|https://www.gov.uk/government/publications/planning-and-performance-framework/the-governments-planning-and-performance-framework#Single-Departmental-Plans} accessed 2019-08-28",DfE,
SDP (schools),School Development Plan,Source: The Knowledge accessed 2019-05-31,DfE,
SDS,School Direct (salaried),"A scheme that replaces the Graduate Teaching Programme. The aim is to attract up to 4900 high-quality career-changers into the profession. On this programme, schools will receive direct funding to help pay the trainees wage while they are completing their training.Source: {GOV.UK|https://www.gov.uk/governmentewsew-school-direct-programme-opens-28-september-2012} accessed 2015-06-10 School Direct (salaried) places These places are aimed mainly at graduates with 3 or more years work experience. However, schools can decide to accept applications from people with less work experience to attract high quality candidates in hard to fill subjects. Prospective candidates are expected to be career changers who can bring valuable skills and experience to the teaching profession. This experience does not have to be from an educational setting. For example, experience could have been gained in the financial, engineering or manufacturing sectors. Trainees are employed as an unqualified teacher. DfE provides funding to lead schools to cover training costs and subsidise the trainee salaries. Source: {GOV.UK|https://www.gov.uk/guidance/school-direct-guidance-for-lead-schools} accessed 2019-11-22",DfE,
SDS,"Safe, Decent & Secure",,MoJ,
SDS,Standard Determinate Sentence,,MoJ,
SDT,Secure Data Transfer,An access protocol that allows the bulk submission of Civil Money Claims by commercial entities,MoJ,Civil
SDU,Spatial Data Unit,Spatial Data Unit (part of DLUHC) created in 2021 to support the levelling up agenda and to improve HMG data capability,DLUHC,Levelling Up
SEAC,Schools Examination and Assessment Council,"The National Curriculum Council (NCC) was one of three bodies created under the Education Reform Act 1988 to help in implementing the national curriculum and its assessment arrangements. The others were the Curriculum Council for Wales (CCW) and the Schools Examination and Assessment Council (SEAC) for England and Wales. The National Curriculum Council, together with SEAC and CCW, were wound up by the Education Act 1993.Source: {TNA|https://discovery.nationalarchives.gov.uk/details/r/C136} accessed 2019-06-14",DfE,
SEAL,Social and Emotional Aspects of Learning,"SEAL is a comprehensive, whole-school approach to promoting the social and emotional skills that underpin effective learning, positive behaviour, regular attendance, staff effectiveness and the emotional health and well-being of all who learn and work in schools.Source: {GOV.UK|https://www.gov.uk/government/publications/social-and-emotional-aspects-of-learning-seal-programme-in-secondary-schools-national-evaluation} accessed 2015-06-11",DfE,
SEC,Special Education Consortium,,DfE,
SED,Sentence Expiry Date,,MoJ,
SED (departmental organisational unit),School Effectiveness Division,,DfE,
SED (Scottish),Scottish Education Department,,DfE,
SEED,Study of Early Education and Development,,DfE,
SEET,"Sustained Education, Employment or Training",,DfE,
SEFS,Science and Engineering Fast Stream,,Cabinet Office,Fast Stream
SEG,Smart Export Guarantee,Small energy grant,BEIS,Energy Policy
SEG,Southern Examining Group,Source: The Knowledge accessed 2019-05-31,DfE,
Segregation Unit,"Also known as Seg, Solitary Confinement, SCU & CSC",,MoJ,
SEISS,Self-Employment Income Support Scheme,,Civil Service Wide,
SEN,Special educational needs,,DfE,
SENaPS,Special Educational Needs and Psychology Service,Source: The Knowledge accessed 2019-05-30,DfE,
SENCO,SEN coordinators,The member of staff of a school who has responsibility for coordinating Special Educational Needs (SEN) provision within that school. In a small school the headteacher or deputy may take on this role. In larger schools there may be an SEN coordinating team.,DfE,
SEND (database),Special Educational Needs Database,,DfE,
SEND (disability),Special Educational Needs and Disability,,DfE,
SENDA,Special Educational Needs and Disability Act 2001,,DfE,
SENDisT,Special Educational Needs and Disability Tribunal,,DfE,
Senet,Skills and Education Network,,DfE,
SENIMS,Special Educational Needs in Mainstream Schools,Source: The Knowledge accessed 2019-05-31,DfE,
SenLib (civil service grade),Senior Librarians,,DfE,
SENSS,Special Educational Needs Support Service,"Special Educational Needs Support Service (SENSS) are a range of specialist support services provided by Local Authorities which are available to schools to provide advice and expertise and, in some cases, to work with individual pupils where a specific need has been shown to exist. All of these services are directly available to schools and some, particularly the Educational Welfare Service, Portage and the Educational Psychology Service also work directly with parents.",DfE,
SENT,Special Educational Needs and Disability Tribunal,,DfE,
SENTC,Special Educational Needs Tribunal Consortium,,DfE,
SEO,Senior Executive Officer,Grade within the Civil Service,Civil Service Wide,
SEO,Search engine optimisation,Improving search rankings for your site - for instance by using popular search terms in titles or web copy.,MoJ,
SEO (civil service grade),Senior Executive Officers,,DfE,
SEO (education),Society of Education Officers,,DfE,
SEO/HEO,Senior Executive Officer/Higher Executive Office (civil service grade),,Civil Service Wide,
SEPACS,Supported Employment Procurement and Consultancy Service,"Source: Department for Education and Employment and Office for Standards in Education., (1998). Departmental Report: The Government's Expenditure Plans for 1998-99 Cm 3910. London: The Stationery Office [ISBN 0101391021]",DfE,
SEU (effectiveness) (departmental organisational unit),Standards and Effectiveness Unit,"Year(s) active (where known): 1997-1999? The Standards and Effectiveness Unit was established to '... take the lead in ensuring that all the partners in the education service contribute fully to the raising of standards. The Unit, assisted by the Standards Task Force, will challenge the assumptions of the education establishment and spread examples of best practice. It will also take the lead on the Government's national programmes for school improvement, such as the literacy and numeracy strategies, developing and implementing Education Development Plans and Education Action Zones, and promoting target setting. The Unit is developing a national database which will disseminate good practice and examples of measures which contribute to raising standards in schools. The database covers good examples of teaching and learning, classroom organisation and school management. An interactive discussion forum will allow schools and other [sic] to contribute to the debate on raising standards.'Source: Department for Education and Employment and Office for Standards in Education., (1998). Departmental Report: The Government's Expenditure Plans for 1998-99 Cm 3910. London: The Stationery Office [ISBN 0101391021]",DfE,
SEU (evidence) (departmental organisational unit),Standards Evidence Unit,Year(s) active (where known): 2013,DfE,
SEU (exclusion),Social Exclusion Unit,Source: The Knowledge accessed 2019-05-31,DfE,
SF,Social Fund,,DWP,
SF (security),Security Forum,,DfE,
SF (standards),Standards Fund,,DfE,
SF (students),Student Forum,Source: The Knowledge accessed 2019-05-31,DfE,
SFA,Skills Funding Agency,"An agency of the Department for Education, formerly an agency of Department for Business, Innovation and Skills whose job is to fund and regulate adult further education and skills training in England.Source: {GOV.UK|https://www.gov.uk/government/organisations/skills-funding-agency/about} accessed 2015-06-11 EFA merged with SFA to create the Education and Skills Funding Agency (ESFA) on 01 April 2017.",DfE,
SFC,Sixth form colleges,,DfE,
SFCA,Sixth Form Colleges Association,The Sixth Form Colleges' Association (SFCA) has been representing the interests of the sector since Sixth Form Colleges became independent corporations in 1993.Source: {Sixth Form Colleges' Association|http://www.sixthformcolleges.org/} accessed 2015-06-11,DfE,
SFCC,Schools Facing Challenging Circumstances,Source: The Knowledge accessed 2019-05-30,DfE,
SFCF,Sixth Form Colleges Forum,,DfE,
SFCS,Social Fund Computer System,,DWP,
SFE,Student Finance England,"Contact details for Student Finance England including complaints, appeals, Student Finance Services and the Advanced Learner Loan.Source: {GOV.UK|https://www.gov.uk/contact-student-finance-england} accessed 2019-12-23",DfE,
SFG,Strengthening Families Grant,"Created by combining the Family Support Grant and the Marriage and Relationship Support Grant. 2004. From April 2006 subsumed into the Children, Young People and Families Grant Programme. Further information below from The Knowledge accessed 2019-05-31 The Strengthening Families Grant (SFG) programme (2005- 2008) was designed to help Government drive forward its vision to deliver the Every Child Matters Green Paper outcomes and encourage an environment for mainstreaming Family Support Service. The Marriage and Relationship Support (MARS) and the Family Support Grant (FSG) Programmes combined to form the new Strengthening Families Grant Programme. The aim of the SFG programme was to support and develop activities to enable families to get access to the information, help and advice they want at the time they need it. The SGF focused on national level capacity building and supporting the developments of the Voluntary and Community Sector (VCS) national infrastructure. Funding was for activities that were of national significance, such as innovation, development project work to pilot programmes that were planned to be replicable, and of a specialist provision that was more appropriately delivered at regional or national level.",DfE,
SFGP,Strengthening Families Grant,"Created by combining the Family Support Grant and the Marriage and Relationship Support Grant. 2004. From April 2006 subsumed into the Children, Young People and Families Grant Programme. Further information below from The Knowledge accessed 2019-05-31 The Strengthening Families Grant (SFG) programme (2005- 2008) was designed to help Government drive forward its vision to deliver the Every Child Matters Green Paper outcomes and encourage an environment for mainstreaming Family Support Service. The Marriage and Relationship Support (MARS) and the Family Support Grant (FSG) Programmes combined to form the new Strengthening Families Grant Programme. The aim of the SFG programme was to support and develop activities to enable families to get access to the information, help and advice they want at the time they need it. The SGF focused on national level capacity building and supporting the developments of the Voluntary and Community Sector (VCS) national infrastructure. Funding was for activities that were of national significance, such as innovation, development project work to pilot programmes that were planned to be replicable, and of a specialist provision that was more appropriately delivered at regional or national level.",DfE,
SFI,Sustainable Farming Incentive,The Sustainable Farming Incentive (SFI) is the first of 3 new environmental schemes being introduced under the Agricultural Transition Plan. The other 2 schemes are Local Nature Recovery and Landscape Recovery. SFI aims to help farmers manage land in a way that improves food production and is more environmentally sustainable.,Defra,Future Farming and Countryside Programme
SFI,Sustainable Farming Incentive,,Defra,Major Projects & Digital Delivery 
SFIS,Single Fraud Investigation Service,,,
SfL,Skills for Life,"The national strategy in England for improving adult literacy, language (ESOL) and numeracy skills. 2001/unknown",DfE,
SfLSU,Skills for Life Strategy Unit,,DfE,
SFPC,Strengthening families protecting children programme,Information about the SFPC programme to help safely reduce the number of children entering care.Source: {GOV.UK|https://www.gov.uk/guidance/strengthening-families-protecting-children-sfpc-programme} accessed 2020-08-19,DfE,
SFR,Statistical First Release,First release of data.Source: Data Directorate 2019-08-01,DfE,
SFRS,Strategic Financial Reporting System,Used to record and report position on all budgets in the Department.Source: Data Directorate 2019-08-01,DfE,
SFSB,Skills for Small Businesses,"Source: Department for Education and Employment and Office for Standards in Education., (1998). Departmental Report: The Government's Expenditure Plans for 1998-99 Cm 3910. London: The Stationery Office [ISBN 0101391021]",DfE,
SFSO,School Finance Support & Oversight,,,
SFT,School Food Trust,Set up as Non-Departmental Public Body in 2005 with 15 million of funding from the then Department for Education and Skills (2001-2007) to promote the education and health of children and young people by improving the quality of food supplied and consumed in schools. In April 2007 the Trust became registered as a Charity. Re-named Children's Food Trust.Source: {Children's Food Trust|http://www.childrensfoodtrust.org.uk/about} accessed 2014-08-06,DfE,
SFTL,Small Firms Training Loans,Source: The Knowledge accessed 2019-05-30,DfE,
SFVS,Schools Financial Value Standard,SFVS is a requirement for all local authority maintained schools. It has been designed by the DfE to help schools gauge how well they are managing their finances and ensures that secure financial management is in place.Source: {GOV.UK|https://www.gov.uk/government/publications/schools-financial-value-standard-and-assurance} accessed 2015-06-10,DfE,
SG,Support Group,(A grouping for ESA claimants based on their condition) [Higher Group],,
SG,Scottish Government,,,
SG (departmental organisational unit),Safeguarding Group,Year(s) active (where known): 2013,DfE,
SGIN,Steering Group on Information Needs,,DfE,
SGOSS,School Governors One Stop Shop,Source: The Knowledge accessed 2019-05-30,DfE,
SGR,School Government Regulations,Source: The Knowledge accessed 2019-05-31,DfE,
SGS,Strategic Grants Services,,Defra,Major Projects & Digital Delivery 
SGS,Self Governing State,Source: The Knowledge accessed 2019-05-31,DfE,
SHA (secondary),Secondary Heads Association,"An association for head teachers of both maintained and independent schools, formed in 1976 from an amalgamation of the Headmasters' Association and the Association of Headmistresses.Source: {Oxford Index|https://oxfordindex.oup.com/view/10.1093/oi/authority.20110803100451195?rskey=fcPouA&result=0&q=Secondary%20Heads%20Association} accessed 2019-05-31 The Secondary Heads Association (SHA) was formed in 1977 by the amalgamation of the AHM and the HMA. In 1983, SHA took a step forward when members overwhelmingly voted to admit deputy heads as full members, thus becoming the first association to recognise the specific role of the senior leadership team. With the growing recognition of and need for shared leadership responsibility, SHA opened membership to assistant heads in 1999 and to bursars and other senior support staff on the leadership team in 2005. By 2005, two-thirds of SHA members were in roles other than that of head. Therefore to better reflect the true makeup of the association, in January 2006, members voted to change the name to the Association of School and College Leaders.Source: {ASCL website|https://www.ascl.org.uk/about-us/history-of-ascl.html} accessed 2019-05-31",DfE,
SHA (strategic),Strategic Health Authority,,DfE,
shall,denotes a requirement: a mandatory element,Formal term from UK Government Orange Book: Management of Risk - Principles and Concepts.,MoJ,
SHIF,Single Housing Infrastructure Fund,,DLUHC,
SHLAA,Strategic Housing Land Availability Assessment,"A Strategic Housing Land Availability Assessment (SHLAA) is a technical exercise to determine the quantity and suitability of land potentially available for housing development. It is a required part of the evidence base needed for the preparation of a Local Plan (as specified in the National Planning Policy Framework, para. 159). The Mayor carries out a London-wide SHLAA to inform the London Plan as it determines the borough housing targets that form a key part of the Plan.",DLUHC,
SHMIS,Society of Heads of Independent Schools,"The Society of Heads of Independent Schools (SHMIS) is an Association of Headmasters and Headmistresses of just over 100 well-established Independent schools. It is one of the constituent organisations of the Independent Schools Council. It was previously called the Society of Headmasters and Headmistresses of Independent Schools hence the 'M' in its abbreviated form which is still retained. SHMIS was formed in 1961 when a group of Heads decided they needed a forum in which to share ideas and experience. Since then the Society has grown substantially in size, reputation and effectiveness. SHMIS now represents schools of all sizes throughout the country with a couple of valued overseas members. Many SHMIS schools have a boarding tradition; a number are at the leading edge of education in music, dance and the arts; and several are well-known for their effective support for those with learning difficulties.Source: The Knowledge accessed 2019-05-31",DfE,
should,denotes a recommendation: an advisory element,Formal term from UK Government Orange Book: Management of Risk - Principles and Concepts.,MoJ,
ShSVCS,Shared Services,,,
SI,Statutory Instruments,"The most common form of secondary legislation. SIs usually follow affirmative or negative procedure, or have no procedure at all, this and their scope, is fixed by the Act of Parliament under which they are made.",Civil Service Wide,Legislation
SI (statutory),Statutory instruments,,DfE,
SI (strategic),Strategic Improvement,,DfE,
SIAD (departmental organisational unit),School Infrastructure and Access Division,Year(s) active (where known): 2017-2019,DfE,
SIB,Social Impact Bonds,"Social impact bonds (SIBs) are designed to help reform public service delivery. SIBs improve the social outcomes of publicly funded services by making funding conditional on achieving results. Investors pay for the project at the start, and then receive payments based on the results achieved by the project.Source: {GOV.UK|https://www.gov.uk/social-impact-bonds} accessed 2015-06-11",DfE,
SIBS,Short Intensive Basic Skills,Source: The Knowledge accessed 2019-05-08,DfE,
SIC,Standard Industry Classification,,BEIS,
SID,Self Inflicted Death,,MoJ,
SIFARD (departmental organisational unit),School Intervention Faith Schools and Academy Regulation Division,Year(s) active (where known): ?-2019,DfE,
SIG,Service Integration Group,,MoJ,
SII,Serum Institute India,,BEIS,UK Vaccines Taskforce
SIL,Service Innovation Lead ,(A person you can approach for advice on the service),,
SIL,Senior Investigations Leader (Criminal and Financial),,,
